source_type,category,count
Consulting,Core Concepts,954
Consulting,Implementation,486
Consulting,Business Value,168
Consulting,Workforce,273
Consulting,Technology,331
Consulting,Governance,136
Consulting,Operations,401
Consulting,Assistance,118
Industry,Core Concepts,1290
Industry,Implementation,676
Industry,Business Value,89
Industry,Workforce,180
Industry,Technology,213
Industry,Governance,156
Industry,Operations,421
Industry,Assistance,87
Academic,Core Concepts,513
Academic,Implementation,204
Academic,Business Value,50
Academic,Workforce,256
Academic,Technology,139
Academic,Governance,97
Academic,Operations,160
Academic,Assistance,24
Policy,Core Concepts,742
Policy,Implementation,534
Policy,Business Value,35
Policy,Workforce,121
Policy,Technology,156
Policy,Governance,411
Policy,Operations,146
Policy,Assistance,96
